timestamp,source_id,type,value,unit
1780358922,sensor_ar_01,qualidade_ar,1353.84,ppm
1780358922,sensor_temp_01,temperatura,21.67,Celsius
1780358927,sensor_ar_01,qualidade_ar,763.92,ppm
1780358927,sensor_temp_01,temperatura,27.29,Celsius
1780358932,sensor_ar_01,qualidade_ar,1470.16,ppm
1780358932,sensor_temp_01,temperatura,30.32,Celsius
1780358937,sensor_ar_01,qualidade_ar,1447.61,ppm
1780358937,sensor_temp_01,temperatura,27.63,Celsius
1780358942,sensor_ar_01,qualidade_ar,721.55,ppm
1780358942,sensor_temp_01,temperatura,29.72,Celsius
1780358947,sensor_ar_01,qualidade_ar,1373.96,ppm
1780358947,sensor_temp_01,temperatura,20.25,Celsius
1780358952,sensor_ar_01,qualidade_ar,547.91,ppm
1780358952,sensor_temp_01,temperatura,23.43,Celsius
1780358957,sensor_ar_01,qualidade_ar,1270.54,ppm
1780358957,sensor_temp_01,temperatura,27.22,Celsius
1780358962,sensor_ar_01,qualidade_ar,476.23,ppm
1780358962,sensor_temp_01,temperatura,23.96,Celsius
1780358967,sensor_ar_01,qualidade_ar,401.29,ppm
1780358967,sensor_temp_01,temperatura,32.37,Celsius
1780358972,sensor_ar_01,qualidade_ar,1107.27,ppm
1780358972,sensor_temp_01,temperatura,34.63,Celsius
1780358977,sensor_temp_01,temperatura,25.16,Celsius
1780358977,sensor_ar_01,qualidade_ar,1025.59,ppm
1780358982,sensor_ar_01,qualidade_ar,1002.58,ppm
1780358982,sensor_temp_01,temperatura,23.7,Celsius
1780358987,sensor_ar_01,qualidade_ar,1214.86,ppm
1780358987,sensor_temp_01,temperatura,32.53,Celsius
1780358992,sensor_ar_01,qualidade_ar,1281.1,ppm
1780358992,sensor_temp_01,temperatura,28.09,Celsius
1780358997,sensor_ar_01,qualidade_ar,1316.17,ppm
1780358997,sensor_temp_01,temperatura,32.05,Celsius
1780359002,sensor_ar_01,qualidade_ar,926.15,ppm
1780359002,sensor_temp_01,temperatura,27.16,Celsius
1780359007,sensor_ar_01,qualidade_ar,1084.51,ppm
1780359007,sensor_temp_01,temperatura,34.28,Celsius
1780359012,sensor_ar_01,qualidade_ar,942.32,ppm
1780359012,sensor_temp_01,temperatura,21.4,Celsius
1780359017,sensor_ar_01,qualidade_ar,664.9,ppm
